timestamp,open,high,low,close,volume
2020-04-22,50.4100,50.9900,49.9800,50.8300,747702
2020-04-21,51.4000,51.8000,49.6000,50.4400,1679561
2020-04-20,50.5800,52.4600,50.0000,51.3000,2461105
2020-04-17,51.3700,51.4900,49.1900,50.3400,3683804
2020-04-16,51.0200,52.1400,50.4400,51.1100,4352153
2020-04-15,51.4200,51.4700,49.5300,50.5000,3470955
2020-04-14,49.5000,50.3700,49.0500,50.0700,2747667
2020-04-13,47.4900,48.5400,46.8300,48.5000,1735946
2020-04-09,45.6700,48.7100,45.6300,47.7500,3517286
2020-04-08,46.5000,47.2300,45.6100,46.1600,3087934
2020-04-07,47.7300,48.3100,46.1600,46.7400,3378940
2020-04-06,49.6800,49.7600,47.5500,47.6100,3753413
2020-04-03,46.9800,49.8500,46.9800,49.5300,3582043
2020-04-02,45.4400,47.5400,45.4400,47.4500,2249886
2020-04-01,45.1100,47.4900,44.7500,45.9800,2728941
2020-03-31,46.5200,47.2000,45.8200,46.1600,2287701
2020-03-30,44.9500,46.8100,44.5150,46.5300,3419237
2020-03-27,42.9900,45.3000,42.7500,44.1900,3227405
2020-03-26,41.6600,44.2200,40.7000,43.5900,5066187
2020-03-25,43.1300,43.7800,41.1800,41.4100,4923284
2020-03-24,43.9300,45.0600,42.0500,43.5000,4339091
2020-03-23,45.0800,45.5600,42.0400,42.9300,3699258
2020-03-20,47.1300,48.7000,45.1700,45.3000,3896721
2020-03-19,50.2600,50.3600,46.0100,47.5000,5027515
2020-03-18,53.5000,54.7499,48.3155,50.4800,5091197
2020-03-17,50.2900,57.5400,50.1500,53.8400,10354041
2020-03-16,46.5200,51.5395,45.7104,49.3000,5715886
2020-03-13,48.5400,49.3700,45.4200,49.2800,5262764
2020-03-12,47.8400,50.7600,47.4228,47.6800,4757330
2020-03-11,50.4800,50.7900,49.5900,50.4700,2904690
2020-03-10,50.9100,51.4700,48.9100,51.2600,5558463
2020-03-09,49.6900,51.9999,49.2300,50.2000,4004624
2020-03-06,51.8300,52.8500,50.6000,51.7600,3443827
2020-03-05,52.7000,53.8300,51.9900,53.1000,4826250
2020-03-04,50.0000,52.8300,49.7800,52.7200,9417418
2020-03-03,48.0000,49.0100,47.4300,47.8800,3573679
2020-03-02,45.3400,48.0000,45.3000,47.9800,4573645
2020-02-28,44.9100,45.2400,43.3500,45.1200,4508575
2020-02-27,46.3600,46.8300,45.6900,45.7000,1714708
2020-02-26,48.1300,48.1300,46.6300,46.6400,2460537
2020-02-25,48.1100,48.3400,47.5900,47.8800,1793207
2020-02-24,47.5400,48.2200,47.4850,48.0200,2364621
2020-02-21,47.7300,48.2700,47.7300,47.9600,983553
2020-02-20,47.7200,47.8200,47.3400,47.7400,1265450
2020-02-19,48.1500,48.3000,47.4900,47.7900,1839976
2020-02-18,48.3400,48.9400,48.0200,48.2000,2600751
2020-02-14,48.4400,48.8200,48.2700,48.6400,1329183
2020-02-13,48.1000,48.3700,47.8200,48.3600,1342741
2020-02-12,48.6400,48.6800,48.0500,48.1800,1007103
2020-02-11,48.7100,49.0600,48.6600,48.7300,1206236
2020-02-10,48.9900,49.0700,48.5200,48.7000,1039427
2020-02-07,48.2600,49.0000,47.9700,48.8800,1612362
2020-02-06,48.6200,48.7700,47.7800,48.1600,1796722
2020-02-05,48.7300,49.0800,48.6400,49.0000,1482668
2020-02-04,49.1000,49.3000,48.6000,48.6600,1214881
2020-02-03,48.6100,48.9700,48.4600,48.8700,1137311
2020-01-31,48.9300,49.2609,48.3400,48.3900,1997886
2020-01-30,48.4100,49.0400,48.2800,49.0300,1632938
2020-01-29,48.8700,48.8700,48.2650,48.3400,1286144
2020-01-28,48.7600,49.1800,48.7000,48.8800,1325157
2020-01-27,48.4700,49.1600,48.4410,48.7700,1858386
2020-01-24,49.1100,49.4500,48.4800,48.7900,2065876
2020-01-23,48.4400,49.1950,48.2000,48.9600,4269766
2020-01-22,48.5600,48.8300,48.4300,48.5700,1619040
2020-01-21,48.0200,48.6900,47.8910,48.5600,2364468
2020-01-17,48.0700,48.3200,47.9700,48.0200,2153853
2020-01-16,47.8400,48.1000,47.7100,48.0900,1544878
2020-01-15,47.5300,47.9700,47.5050,47.7800,2626728
2020-01-14,47.7400,47.7900,47.4500,47.5400,2051659
2020-01-13,47.7300,48.0300,47.4800,47.7200,1513878
2020-01-10,47.5500,47.9900,47.3800,47.7300,1338726
2020-01-09,47.3300,47.6800,46.8384,47.6200,2028772
2020-01-08,48.2800,48.2800,47.1900,47.3500,2245587
2020-01-07,48.1700,48.5050,48.0500,48.1900,1909207
2020-01-06,48.4600,48.5500,47.9600,48.5100,4328183
2020-01-03,48.4600,48.6200,48.3100,48.4300,1658300
2020-01-02,49.4500,49.5585,48.3550,48.4900,1730335
2019-12-31,49.2500,49.4300,48.8700,49.4200,1469337
2019-12-30,49.3100,49.5400,49.0800,49.2500,1285423
2019-12-27,49.1200,49.4850,49.0000,49.4600,831680
2019-12-26,49.2400,49.3500,48.9050,49.0200,1932106
2019-12-24,49.1900,49.4000,49.0300,49.2300,420566
2019-12-23,49.3800,49.4400,48.9200,49.1100,1127860
2019-12-20,48.4100,49.2600,48.2200,49.1700,6267955
2019-12-19,48.4900,48.7600,48.0550,48.2200,2323809
2019-12-18,48.1500,48.3100,48.0300,48.2200,1703258
2019-12-17,47.8500,48.1650,47.6450,47.7600,1503980
2019-12-16,47.9500,48.0100,47.5900,47.9600,1364774
2019-12-13,47.5900,48.1450,47.5650,47.8600,1313176
2019-12-12,47.9000,48.1200,47.5900,47.7100,1466860
2019-12-11,48.4200,48.4550,47.9100,47.9800,1980401
2019-12-10,48.1200,48.8000,47.9520,48.3900,2179619
2019-12-09,47.7500,48.3200,47.7000,48.2400,2243285
2019-12-06,47.8300,48.3050,47.6200,47.7500,2378176
2019-12-05,48.5100,48.9300,47.5800,47.6300,4524647
2019-12-04,47.4900,48.8900,47.4900,48.4700,5655679
2019-12-03,46.9600,47.8500,46.8300,47.5800,4921296
2019-12-02,46.4700,47.1600,46.1500,47.1400,2485485
2019-11-29,46.9800,47.0100,46.4050,46.5700,1140185
2019-11-27,47.2700,47.7100,46.9500,47.0600,1742043
